CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
3,Algeria,DZA,Middle East & North Africa,-0.6052631578947368,-0.3986486486486486,-0.4345403899721447
11,Bahrain,BHR,Middle East & North Africa,-0.06578947368421058,-0.2387387387387387,0.12813370473537627
50,Egypt,EGY,Middle East & North Africa,-0.7664473684210527,-0.6801801801801801,-0.25905292479108627
76,Iran,IRN,Middle East & North Africa,-0.5690789473684212,-0.5608108108108107,-0.2980501392757659
77,Iraq,IRQ,Middle East & North Africa,-0.8190789473684211,-0.7882882882882882,
79,Israel,ISR,Middle East & North Africa,0.25657894736842113,0.16441441441441454,0.30640668523676884
83,Jordan,JOR,Middle East & North Africa,0.0032894736842104563,-0.16666666666666655,0.13091922005571038
89,Kuwait,KWT,Middle East & North Africa,-0.2105263157894736,-0.22522522522522526,-0.02785515320334262
93,Lebanon,LBN,Middle East & North Africa,-0.02960526315789469,-0.1013513513513514,-0.2980501392757659
96,Libya,LBY,Middle East & North Africa,-0.7203947368421054,-0.48198198198198194,
115,Morocco,MAR,Middle East & North Africa,-0.21381578947368432,-0.29054054054054057,0.03064066852367692
125,Oman,OMN,Middle East & North Africa,-0.27960526315789463,-0.3986486486486486,-0.022284122562674015
134,Qatar,QAT,Middle East & North Africa,-0.22368421052631568,-0.3896396396396396,0.30083565459610023
142,Saudi Arabia,SAU,Middle East & North Africa,-0.46381578947368424,-0.5968468468468467,-0.030640668523676723
159,Syria,SYR,Middle East & North Africa,-1.0,-1.0,
168,Tunisia,TUN,Middle East & North Africa,-0.24671052631578946,-0.22522522522522526,-0.17827298050139273
169,Turkey,TUR,Middle East & North Africa,-0.20394736842105265,-0.277027027027027,0.07799442896935925
173,United Arab Emirates,ARE,Middle East & North Africa,-0.2302631578947369,-0.42342342342342343,0.44011142061281333
181,Yemen,YEM,Middle East & North Africa,-0.8322368421052633,-0.9504504504504505,
