CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
12,Bangladesh,BGD,South Asia,-0.34868421052631593,-0.36036036036036034,-0.17270194986072412
18,Bhutan,BTN,South Asia,-0.09868421052631574,-0.15315315315315312,0.03064066852367692
186,Brunei Darussalam,BRN,South Asia,-0.3749999999999999,-0.49774774774774777,0.09192200557103057
27,Cambodia,KHM,South Asia,0.09868421052631574,-0.03378378378378367,-0.11142061281337048
74,India,IND,South Asia,-0.06250000000000012,-0.13513513513513506,-0.18384401114206114
75,Indonesia,IDN,South Asia,0.0,-0.13288288288288286,0.11142061281337048
91,Lao P.D.R.,LAO,South Asia,-0.2072368421052631,-0.277027027027027,-0.12256267409470749
104,Malaysia,MYS,South Asia,-0.10197368421052648,-0.28603603603603595,0.33983286908078003
118,Nepal,NPL,South Asia,-0.10526315789473693,-0.099099099099099,-0.22284122562674097
126,Pakistan,PAK,South Asia,-0.3749999999999999,-0.3378378378378379,-0.18941504178272972
131,Philippines,PHL,South Asia,0.01644736842105257,-0.11936936936936923,0.05571030640668524
147,Singapore,SGP,South Asia,0.4210526315789472,0.11936936936936944,0.7688022284122565
153,Sri Lanka,LKA,South Asia,-0.1381578947368421,-0.16216216216216212,-0.15041782729805012
163,Thailand,THA,South Asia,-0.09210526315789481,-0.16216216216216212,0.18105849582172703
164,Timor-Leste,TLS,South Asia,-0.023026315789473777,0.12387387387387384,-0.49025069637882995
180,Vietnam,VNM,South Asia,-0.17763157894736842,-0.14864864864864868,-0.18105849582172703
