CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
2,Albania,ALB,Eastern Europe,0.3322368421052631,0.23423423423423426,0.13091922005571038
3,Algeria,DZA,Middle East & North Africa,-0.6052631578947368,-0.3986486486486486,-0.4345403899721447
4,Angola,AGO,Sub-Saharan Africa,-0.47039473684210514,-0.22297297297297283,-0.3119777158774372
5,Argentina,ARG,Latin America & the Caribbean,0.00986842105263166,0.2409909909909909,-0.267409470752089
6,Armenia,ARM,Caucasus & Central Asia,0.194078947368421,0.04054054054054068,0.1643454038997216
7,Australia,AUS,Oceania,0.588815789473684,0.49324324324324337,0.5320334261838443
8,Austria,AUT,Western Europe,0.542763157894737,0.5135135135135136,0.2841225626740948
9,Azerbaijan,AZE,Caucasus & Central Asia,-0.2006578947368422,-0.195945945945946,0.10027855153203367
10,Bahamas,BHS,Latin America & the Caribbean,0.24013157894736828,0.2027027027027028,0.03064066852367692
11,Bahrain,BHR,Middle East & North Africa,-0.06578947368421058,-0.2387387387387387,0.12813370473537627
12,Bangladesh,BGD,South Asia,-0.34868421052631593,-0.36036036036036034,-0.17270194986072412
13,Barbados,BRD,Latin America & the Caribbean,0.06249999999999983,0.13963963963963968,0.08077994428969376
14,Belarus,BLR,Eastern Europe,-0.05921052631578938,-0.06981981981981975,-0.10863509749303618
15,Belgium,BEL,Western Europe,0.48026315789473656,0.47297297297297314,0.15320334261838442
16,Belize,BLZ,Latin America & the Caribbean,0.03947368421052635,0.03378378378378387,-0.17827298050139273
17,Benin,BEN,Sub-Saharan Africa,-0.01973684210526332,0.11261261261261263,-0.18105849582172703
18,Bhutan,BTN,South Asia,-0.09868421052631574,-0.15315315315315312,0.03064066852367692
19,Bolivia,BOL,Latin America & the Caribbean,-0.0723684210526315,0.022522522522522646,-0.5431754874651811
20,Bosnia and Herzegovina,BIH,Eastern Europe,0.17763157894736842,0.2409909909909909,0.0027855153203343017
21,Botswana,BWA,Sub-Saharan Africa,0.11184210526315784,0.0,0.21448467966573825
22,Brazil,BRA,Latin America & the Caribbean,-0.11513157894736831,-0.0518018018018017,-0.27576601671309187
186,Brunei Darussalam,BRN,South Asia,-0.3749999999999999,-0.49774774774774777,0.09192200557103057
23,Bulgaria,BGR,Eastern Europe,0.3157894736842105,0.2409909909909909,0.20055710306406693
24,Burkina Faso,BFA,Sub-Saharan Africa,-0.03289473684210514,0.09459459459459459,-0.06685236768802225
26,Burundi,BDI,Sub-Saharan Africa,-0.417763157894737,-0.4549549549549549,-0.35933147632311974
27,Cambodia,KHM,South Asia,0.09868421052631574,-0.03378378378378367,-0.11142061281337048
28,Cameroon,CMR,Sub-Saharan Africa,-0.39144736842105277,-0.3468468468468469,-0.2618384401114206
29,Canada,CAN,North America,0.5986842105263159,0.506756756756757,0.44289693593314783
30,Cabo Verde,CPV,Sub-Saharan Africa,0.20394736842105265,0.17342342342342354,0.03621169916434552
31,Central African Republic,CAF,Sub-Saharan Africa,-0.4671052631578947,-0.3108108108108108,-0.35376044568245113
32,Chad,TCD,Sub-Saharan Africa,-0.45065789473684215,-0.33333333333333326,-0.33147632311977715
33,Chile,CHL,Latin America & the Caribbean,0.43421052631578955,0.32432432432432445,0.3788300835654599
34,China,CHN,East Asia,-0.21710526315789477,-0.23648648648648649,-0.09470752089136486
35,Colombia,COL,Latin America & the Caribbean,0.03289473684210514,0.04729729729729729,0.15320334261838442
37,"Congo, Democratic Republic of the Congo",COD,Sub-Saharan Africa,-0.4835526315789473,-0.27927927927927915,-0.3203342618384401
39,Costa Rica,CRI,Latin America & the Caribbean,0.2861842105263158,0.22972972972972985,0.09749303621169916
40,Côte d'Ivoire,CIV,Sub-Saharan Africa,-0.0789473684210527,0.051801801801801904,0.01671309192200561
41,Croatia,HRV,Eastern Europe,0.3388157894736843,0.33333333333333326,-0.011142061281337007
43,Cyprus,CYP,Eastern Europe,0.3618421052631578,0.27252252252252257,0.17548746518105843
44,Czech Republic,CZE,Eastern Europe,0.4967105263157894,0.43918918918918926,0.3314763231197773
45,Denmark,DNK,Western Europe,0.5690789473684212,0.5112612612612614,0.4150417827298052
48,Dominican Republic,DOM,Latin America & the Caribbean,0.03947368421052635,0.0022522522522524045,-0.022284122562674015
49,Ecuador,ECU,Latin America & the Caribbean,-0.0032894736842104563,0.08783783783783798,-0.41504178272980496
50,Egypt,EGY,Middle East & North Africa,-0.7664473684210527,-0.6801801801801801,-0.25905292479108627
51,El Salvador,SLV,Latin America & the Caribbean,0.01973684210526303,-0.07882882882882876,0.0
54,Estonia,EST,Eastern Europe,0.536184210526316,0.4617117117117117,0.4122562674094707
156,Eswatini,SWZ,Sub-Saharan Africa,-0.14144736842105254,-0.15315315315315312,-0.19777158774373244
55,Ethiopia,ETH,Sub-Saharan Africa,-0.5197368421052632,-0.4954954954954956,-0.22841225626740935
56,Fiji,FJI,Oceania,0.11184210526315784,0.14414414414414428,0.011142061281337207
57,Finland,FIN,Western Europe,0.5592105263157893,0.5180180180180181,0.36490250696378856
58,France,FRA,Western Europe,0.3914473684210525,0.38738738738738737,0.05571030640668524
59,Gabon,GAB,Sub-Saharan Africa,-0.2763157894736842,-0.195945945945946,-0.15320334261838442
60,Gambia,GMB,Sub-Saharan Africa,-0.2927631578947367,-0.5247747747747749,-0.2618384401114206
61,Georgia,GEO,Caucasus & Central Asia,0.29934210526315796,0.12612612612612625,0.39275766016713115
62,Germany,DEU,Western Europe,0.5592105263157893,0.5135135135135136,0.3259052924791087
63,Ghana,GHA,Sub-Saharan Africa,0.036184210526315895,0.07432432432432434,-0.11977715877437319
64,Greece,GRC,Eastern Europe,0.16447368421052633,0.24774774774774788,-0.11420612813370458
65,Guatemala,GTM,Latin America & the Caribbean,0.0789473684210527,-0.09234234234234238,0.022284122562674213
66,Guinea,GIN,Sub-Saharan Africa,-0.4013157894736841,-0.36036036036036034,-0.16991643454038982
67,Guinea-Bissau,GNB,Sub-Saharan Africa,-0.24999999999999992,-0.015765765765765632,-0.21727019498607236
68,Guyana,GUY,Latin America & the Caribbean,-0.02960526315789469,0.04279279279279288,-0.1392757660167131
69,Haiti,HTI,Latin America & the Caribbean,-0.03947368421052635,-0.009009009009009018,-0.25348189415041766
70,Honduras,HND,Latin America & the Caribbean,-0.006578947368421204,-0.11261261261261263,-0.04456824512534803
71,Hong Kong SAR,HKG,East Asia,0.6513157894736843,0.3896396396396396,0.7910863509749305
72,Hungary,HUN,Eastern Europe,0.2697368421052633,0.2409909909909909,0.08913649025069646
73,Iceland,ISL,Western Europe,0.5197368421052632,0.47522522522522537,0.426183844011142
